(   50 ,  300 ),(  200 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  150 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  100 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  200 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  150 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  200 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  150 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  100 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  200 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  150 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  200 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  150 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  100 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  200 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  150 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  200 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  150 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  300 ),(  100 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  200 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  150 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  200 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  150 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  100 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  200 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  150 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  200 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  150 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  100 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  200 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  150 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  200 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  150 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  100 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  200 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  150 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  200 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  150 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  300 ),(  100 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  200 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  150 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  200 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  150 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  100 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  200 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  150 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  200 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  150 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  100 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  200 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  150 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  200 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  150 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  100 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  200 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  150 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  200 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  150 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  250 ),(  100 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  200 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  150 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  200 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  150 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  100 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  200 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  250 ),(  150 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
